appid,name,playtime_forever_min,playtime_forever_hrs,playtime_category,has_trading_cards,card_drops_remaining,achievements_status
1021770, Wanba Warriors,126,2.1,Played,Yes,No,No Achievements
435790,10 Second Ninja X,230,3.83,Played,Yes,No,In Progress
282800,100% Orange Juice,183,3.05,Played,Yes,No,Not Started
735580,11-11 Memories Retold,181,3.02,Played,Yes,No,Not Started
410110,12 is Better Than 6,403,6.72,Played,Yes,No,Not Started
375460,16bit Trader,371,6.18,Played,Yes,No,Not Started
373480,1993 Space Machine,407,6.78,Played,Yes,No,Not Started
335190,200% Mixed Juice!,180,3,Played,Yes,No,Not Started
444420,24 Hours 'til Rescue,184,3.07,Played,No,No,Not Started
1292630,3on3 FreeStyle: Rebound,50,0.83,Short Playtime (< 1 hr),Yes,No,Not Started
47000,4 Elements,0,0,Never Played,No,No,Not Started
1494140,7Days Origins,0,0,Never Played,No,No,Not Started
714360,A Shawn Story,62,1.03,Played,No,No,Not Started
278360,A Story About My Uncle,371,6.18,Played,Yes,No,Not Started
319540,A Year Of Rain,0,0,Never Played,No,No,Not Started
346110,ARK: Survival Evolved,441,7.35,Played,No,No,Not Started
407530,ARK: Survival Of The Fittest,0,0,Never Played,No,No,No Achievements
319830,AX:EL,177,2.95,Played,Yes,No,Not Started
390710,Acceleration of SUGURI 2,184,3.07,Played,Yes,No,Not Started
806140,Achievement printer,168,2.8,Played,Yes,No,Completed
382080,Action Alien,191,3.18,Played,Yes,No,Not Started
3800,Advent Rising,315,5.25,Played,Yes,No,No Achievements
371140,Aegis Defenders,184,3.07,Played,No,No,Not Started
592730,Aerial Destruction,184,3.07,Played,Yes,No,Not Started
226840,Age of Wonders III,183,3.05,Played,Yes,No,Not Started
304530,Agents of Mayhem,326,5.43,Played,Yes,No,Not Started
726340,Alchemist's Castle,0,0,Never Played,No,No,Not Started
935400,Alchemy Garden,40,0.67,Short Playtime (< 1 hr),Yes,No,Not Started
562430,Alien Hostage,191,3.18,Played,Yes,No,Not Started
685230,Alienzix,62,1.03,Played,No,No,No Achievements
34010,Alpha Protocol,181,3.02,Played,No,No,No Achievements
239200,Amnesia: A Machine for Pigs,181,3.02,Played,No,No,Not Started
57300,Amnesia: The Dark Descent,180,3,Played,No,No,Not Started
1356040,Ampersat,0,0,Never Played,Yes,No,Not Started
720380,Ancestors Legacy Free Peasant Edition,62,1.03,Played,No,No,No Achievements
450860,Andarilho,399,6.65,Played,Yes,No,Not Started
327220,Anna's Quest,167,2.78,Played,Yes,No,Not Started
1172470,Apex Legends,1749,29.15,Long Playtime (> 10 hrs),Yes,No,Not Started
325180,AppGameKit Classic,177,2.95,Played,No,No,No Achievements
280160,Aragami,185,3.08,Played,Yes,No,Not Started
727020,Arcade Moonlander,62,1.03,Played,No,No,Not Started
65790,Arma: Cold War Assault,62,1.03,Played,No,No,No Achievements
594550,Arma: Cold War Assault Mac/Linux,62,1.03,Played,No,No,No Achievements
583950,Artifact Classic,62,1.03,Played,No,No,No Achievements
1269260,Artifact Foundry,43,0.72,Short Playtime (< 1 hr),No,No,No Achievements
507490,Ashes of the Singularity: Escalation,274,4.57,Played,Yes,No,Not Started
1234940,Astronarch,306,5.1,Played,Yes,No,Not Started
753660,AtmaSphere,0,0,Never Played,Yes,No,Not Started
348510,Autobahn Police Simulator,177,2.95,Played,Yes,No,Not Started
473520,Autumn,43,0.72,Short Playtime (< 1 hr),Yes,No,No Achievements
1641830,Axis Football 2021,0,0,Never Played,No,No,Not Started
637090,BATTLETECH,407,6.78,Played,Yes,No,Not Started
618140,Barro,106,1.77,Played,Yes,No,Completed
1168660,Barro 2020,238,3.97,Played,Yes,No,Not Started
1797610,Barro 22,99,1.65,Played,Yes,No,Not Started
1239260,Barro F,296,4.93,Played,Yes,No,Not Started
1990740,Barro GT,0,0,Never Played,Yes,No,Not Started
1307090,Barro Racing,239,3.98,Played,Yes,No,Not Started
35140,Batman: Arkham Asylum GOTY Edition,579,9.65,Played,Yes,No,In Progress
200260,Batman: Arkham City GOTY,283,4.72,Played,Yes,No,Not Started
209000,Batman™: Arkham Origins,320,5.33,Played,Yes,No,Not Started
601590,BattleTrucks,131,2.18,Played,Yes,No,No Achievements
684720,Battlegun,67,1.12,Played,No,No,No Achievements
544610,Battlestar Galactica Deadlock,0,0,Never Played,Yes,No,Not Started
461950,Beat Cop,219,3.65,Played,Yes,No,Not Started
49600,Beat Hazard,459,7.65,Played,Yes,No,Not Started
514550,Beat The Dictators,256,4.27,Played,No,No,No Achievements
529440,Behold the Kickmen,0,0,Never Played,No,No,Not Started
475550,Beholder,176,2.93,Played,Yes,No,Not Started
285070,Between Me and The Night,295,4.92,Played,Yes,No,Not Started
1158500,Between Two Castles - Digital Edition,43,0.72,Short Playtime (< 1 hr),No,No,No Achievements
928050,Between the Stars Demo,65,1.08,Played,No,No,No Achievements
203750,Binary Domain,177,2.95,Played,No,No,Not Started
704190,Bitcoin Collector,233,3.88,Played,No,No,Completed
1621560,Black One Blood Brothers,89,1.48,Played,No,No,Not Started
550650,Black Squad,176,2.93,Played,Yes,No,Not Started
729660,Blackout Z: Slaughterhouse Edition,62,1.03,Played,Yes,No,Not Started
1254120,Bless Unleashed,118,1.97,Played,Yes,No,Not Started
1373550,BloodRayne 2: Terminal Cut,156,2.6,Played,Yes,No,Not Started
1220150,Blue Fire,1,0.02,Short Playtime (< 1 hr),No,No,Not Started
